,Code,Language,Type,URL,Stars,PushDate,usedHash,buildScript,expert,build_script,use_cmake,use_configure,note,Unnamed:,14
4570,DasudaRunner/Object-Tracking,C++,git,https://github.com/DasudaRunner/Object-Tracking.git,27,-4578015,da43ea4f6bca990e2e07cdc6c630b4d0c4a43a6f,,RS,autofail.sh,,,Autobuild,Fail,
7442,bsc-performance-tools/wxparaver,C++,git,https://github.com/bsc-performance-tools/wxparaver.git,26,6031985,1db355c437c67b8fbe94b769250a00f0302fd6bb,,RS,autofail.sh,,,Autobuild,Fail,
7344,AFD-Illinois/kharma,C++,git,https://github.com/AFD-Illinois/kharma.git,25,6151985,26b8bc811f84c18c105a6f56dd3fa3286710b30a,,RS,autofail.sh,,,Autobuild,Fail,
6540,ECP-ExaGraph/miniVite,C++,git,https://github.com/ECP-ExaGraph/miniVite.git,24,30.07.8777,e630f9c3726fd61768a765fb1399da92efa456ac,,RS,autofail.sh,,,Autobuild,Fail,
5786,fandreuz/parallel-kd-tree,C++,git,https://github.com/fandreuz/parallel-kd-tree.git,23,-1648015,66faa1108c9652f2b2518d658a759556135e17bc,,RS,autofail.sh,,,Autobuild,Fail,
3256,tsaglam/TrafficSimulation,C++,git,https://github.com/tsaglam/TrafficSimulation.git,22,-6808015,65a7947592193159106c5bb32646da3be5f891c3,,RS,autofail.sh,,,Autobuild,Fail,
2450,richursa/cpuBitonicSort,C++,git,https://github.com/richursa/cpuBitonicSort.git,21,9862383,2b2616b610d8e508af0039d5dc0eff6d6abd68d1,,RS,autofail.sh,,,Autobuild,Fail,
4354,dalvangriebler/NPB-CPP,C++,git,https://github.com/dalvangriebler/NPB-CPP.git,21,-3758015,d31c997580ef1a58c13c69fe02dadcb3e0e95105,,RS,autofail.sh,,,Autobuild,Fail,
1316,repalash/CUDAPathTracerRL,C++,git,https://github.com/repalash/CUDAPathTracerRL.git,20,6242383,339194a903a115fb09a50c639ac82d3348eb2425,,RS,autofail.sh,,,Autobuild,Fail,
6294,ECP-ExaGraph/grappolo,C++,git,https://github.com/ECP-ExaGraph/grappolo.git,20,3101985,7671af320338fdfb8ead6233d03ed1a1d1b7fce5,,RS,default_make.sh,,FALSCH,Autobuild,Success,
6333,TApplencourt/OvO,C++,git,https://github.com/TApplencourt/OvO.git,19,2971985,198b5d0242f39f1c31ea98f9a1d360d332511a1d,,RS,autofail.sh,,,Autobuild,Fail,
3320,tgregov/Multiphysics,C++,git,https://github.com/tgregov/Multiphysics.git,18,-7108015,62b40f5de8f540e140ace64deabc2b8aa1700f23,,RS,autofail.sh,,,Autobuild,Fail,
1994,ttsiodras/straylight,C++,git,https://github.com/ttsiodras/straylight.git,18,3042383,9f8e75447f2c982df11e305dd16127f58b5722c6,,RS,autofail.sh,,,Autobuild,Fail,
2575,arneish/parallel-PCA-openmp,C,git,https://github.com/arneish/parallel-PCA-openmp.git,17,9472383,bda0f5b22b08c37e8c7d8fc86719915d232797b0,,RS,autofail.sh,,,Autobuild,Fail,
7555,amannougrahiya/imop-compiler,C,git,https://github.com/amannougrahiya/imop-compiler.git,17,5461985,aeeab437118d45ec6704991e4b952e2d4a5f4e05,,RS,autofail.sh,,,Autobuild,Fail,
3752,naps62/parallel-sort,C++,git,https://github.com/naps62/parallel-sort.git,17,-8558015,23ffbc48e06c4ad79d41a103e09a750c5c4eef56,,RS,autofail.sh,,,Autobuild,Fail,
7254,chenxuhao/GraphAIBench,C++,git,https://github.com/chenxuhao/GraphAIBench.git,16,6121985,17834cb29b7c542481c2e3740dc9664841b72f59,,RS,default_make.sh,,FALSCH,Autobuild,Success,
4044,Michaelangel007/buddhabrot,C++,git,https://github.com/Michaelangel007/buddhabrot.git,15,-9758015,d44ff75b938236d5fe31e1c1c668db75c3cc766d,,RS,default_make.sh,,FALSCH,Autobuild,Success,
2710,RayhanShikder/lcs_parallel,C,git,https://github.com/RayhanShikder/lcs_parallel.git,14,9042383,59d41267bcfe2980121a6133708c5299b17a58cf,,RS,autofail.sh,,,Autobuild,Fail,
7003,rehbergT/dgemm,C++,git,https://github.com/rehbergT/dgemm.git,14,16.02.4917,1702c9429f87c245d0b39526af997f7801e43260,,RS,autofail.sh,,,Autobuild,Fail,
