Code,PushDate
yanxiaojing16--Parallel-Snake---OpenMP,2018-03-04 10:35:07+00:00
hongjil5--HPC_Parallel_Mergesort,2018-02-05 00:38:39+00:00
asherliu--SSSP-multithreaded,2018-03-25 13:24:06+00:00
les0327--PPCS_CW,2018-03-22 14:52:17+00:00
abidrahman--Discovering-OpenMP,2018-03-17 18:43:53+00:00
epielemeier--oc-openmp-montecarlo,2017-12-12 00:42:42+00:00
aSempruch--PPL-Project_3,2017-12-15 21:23:13+00:00
JohnJDyer--barneshut_multibody,2018-06-06 04:12:18+00:00
adolfoweloy--matrix_mult,2018-06-04 04:04:23+00:00
AdoniasAlcantara--project4-omp,2018-07-21 15:38:54+00:00
MetalRain--learn-openmp,2018-06-28 11:41:08+00:00
leaferm--OMP,2018-04-15 07:56:28+00:00
deryrahman--if3230-bitonic-sort-openmp,2018-04-17 00:56:55+00:00
Brown2Fox--selection_sort_omp,2018-05-07 07:57:28+00:00
ibamba--Parallelization_mpi-omp-simd,2019-07-31 18:11:13+00:00
brunoweber--test-omp,2017-10-10 23:35:55+00:00
kaustubhcs--Integration-Using-OpenMP,2017-10-19 04:42:24+00:00
joaovcarvalho--matrix-multiplication-optimized,2017-09-19 03:04:01+00:00
SabareeshIyer--Parallel-Prefix-using-OpenMP,2017-11-09 19:38:31+00:00
deepdarkblue327--openmp-scan,2017-10-24 14:36:34+00:00
florinaaelenaa--openmp-game-of-life,2017-10-25 09:39:32+00:00
BenFields22--FunctionalDecompositionOpenMP,2017-08-28 06:48:11+00:00
fcooper8472--ArcherOpenMP,2017-08-02 15:30:12+00:00
barmbarm--OpenMp-CaculatingRoadRate,2017-07-14 01:43:03+00:00
kgills--laplace_omp,2017-01-31 03:06:02+00:00
mchirons--CS314-OpenMP,2016-12-31 16:09:56+00:00
pentalpha--sequencer,2016-05-02 18:24:42+00:00
jbarber--omp-benchmarks,2013-05-09 10:14:37+00:00
tfritzon--omptest,2012-11-14 11:18:49+00:00
qazwse--RedBlueOpenMP,2013-01-23 00:56:45+00:00
tylerhjones--openMP_example,2013-08-05 21:36:05+00:00
rutgers572--recitation1,2017-03-14 20:08:50+00:00
sudipta1411--bitsor,2017-03-20 05:42:41+00:00
LiyaSharipova--OpenMP-Tasks,2017-04-04 21:33:31+00:00
Stuart4--OpenMPPractice,2015-06-06 02:14:49+00:00
rickyzhang82--OpenMP,2014-04-29 16:00:35+00:00
Terminus-IMRC--hello-omp,2014-05-16 14:40:16+00:00
yonutix--OpenMPHW,2014-10-01 09:26:31+00:00
neariot--openmp,2016-01-30 03:30:37+00:00
tcreech--ppi,2016-01-04 19:26:23+00:00
vhcandido--hpc-erad-2015,2015-08-06 07:38:40+00:00
shwina--five-short-openmp,2015-10-26 22:43:59+00:00
marcelarosalesj-education--other.openmp-excercises,2020-02-10 23:29:59+00:00
feroldi--omp-histogram-problem,2019-11-19 01:07:00+00:00
LexaHoods--OPENMP,2019-12-13 17:46:47+00:00
RonRahaman--openmp_tutorial,2020-04-29 01:43:23+00:00
vrajpatell--Mandelbrot-Set-with-Parallel-Programming-Using-OpenMP-,2020-04-23 20:55:12+00:00
nikospd--vptree,2020-04-26 14:41:07+00:00
ShanSanear--OpenMPProject,2020-03-04 19:15:03+00:00
emanuele-progr--PwdDecrypter,2020-02-27 06:56:35+00:00
joshtburris--CS-475-PA2,2020-02-25 08:58:13+00:00
zetechmoy--bruteforce-openmp,2020-04-02 17:32:02+00:00
avisenna01--Djikstra-OpenMP,2020-03-03 11:29:44+00:00
vincentbudianto--Djikstra-OpenMP,2020-02-28 11:24:26+00:00
matsumon--OpenMP-Monte-Carlo-Simulation,2021-05-29 21:51:41+00:00
psilves1--AVX_with_OpenMP,2021-09-11 21:41:21+00:00
bytebunny--tma881_openmp,2019-10-17 12:06:10+00:00
adamorucu--conjugate-gradient,2021-06-22 12:11:59+00:00
Alakeil--gameoflife,2021-07-21 09:48:09+00:00
ErianArcher--openmp_practice,2019-03-03 15:30:36+00:00
shahrzad--Openmp_test,2018-12-05 15:48:09+00:00
mhaseeb123--omp_gaussian_elimination,2019-01-13 07:55:05+00:00
sudonav--Parallel-prefix-using-OpenMP,2019-01-06 21:51:03+00:00
phanikishoreg--workconservation,2019-05-24 20:48:24+00:00
jacksjm--c-matrix-openmp,2019-05-28 04:10:58+00:00
escobargabriel--MM_OMP,2019-06-22 01:45:47+00:00
hbina--primality_test_with_openmp,2019-04-13 20:02:55+00:00
anvari1313--matrix-multiplication,2019-04-11 18:59:27+00:00
nekrotzar--simpar,2019-04-18 14:14:01+00:00
adamfdhl--openmp,2019-04-03 15:20:21+00:00
CatGlasses77--RACIPE_multithreaded,2020-08-11 13:37:18+00:00
tiana721--openMP,2020-05-24 11:56:35+00:00
krits123--RCM-OpenMP,2020-06-23 10:28:24+00:00
PerJNilsson--C---OpenMP,2018-10-19 13:53:09+00:00
coolbrees9--CSC435-GroupProject,2018-10-23 00:20:46+00:00
lukas783--ParallelPrimes,2018-09-30 23:01:17+00:00
sgladchenko--poisson,2018-10-25 08:16:13+00:00
