,Code,Language,Type,URL,Stars,PushDate,usedHash,buildScript,expert
53,lukaszpaczynski/PROBLEMY,C,git,https://github.com/lukaszpaczynski/PROBLEMY.git,0,10582781,,,
54,evanpurkhiser/CS-OpenMPExperiments,C,git,https://github.com/evanpurkhiser/CS-OpenMPExperiments.git,5,10582781,,,
55,fpaboim/gpufem,C++,git,https://github.com/fpaboim/gpufem.git,5,10562781,,,
56,zosiakropka/prir_openmp_demo,C++,git,https://github.com/zosiakropka/prir_openmp_demo.git,0,10552781,,,
57,soulsheng/openmp-app,C++,git,https://github.com/soulsheng/openmp-app.git,0,10532781,,,
58,adilansari/luDecomposition,C,git,https://github.com/adilansari/luDecomposition.git,15,10512781,,,
59,mmotel/zjp-labs,C,git,https://github.com/mmotel/zjp-labs.git,0,10512781,,,
60,RyanLiuNtust/CppLeaning,C++,git,https://github.com/RyanLiuNtust/CppLeaning.git,0,10502781,,,
61,stadaki/openmpi-IsendIrecv_byte,C++,git,https://github.com/stadaki/openmpi-IsendIrecv_byte.git,0,10492781,,,
62,jtkarlsen/parallel-traveling-salesman,C,git,https://github.com/jtkarlsen/parallel-traveling-salesman.git,0,10432781,,,
63,moritz-wundke/Mandle,C++,git,https://github.com/moritz-wundke/Mandle.git,0,10412781,,,
64,skyrain/openmp,C,git,https://github.com/skyrain/openmp.git,0,10412781,,,
65,elzisiou/K-means,C,git,https://github.com/elzisiou/K-means.git,2,10352781,,,
66,weiwangudel/RCRdaemon-MIC,C,git,https://github.com/weiwangudel/RCRdaemon-MIC.git,1,10322781,,,
67,sciff90/openmp,C++,git,https://github.com/sciff90/openmp.git,0,10302781,,,
68,ppwwyyxx/Mandelbrot-Set,C++,git,https://github.com/ppwwyyxx/Mandelbrot-Set.git,3,10272781,,,
69,schwittlick/GameOfLife,C++,git,https://github.com/schwittlick/GameOfLife.git,0,10222781,,,
70,hi2p-perim/smallpt-mpi,C++,git,https://github.com/hi2p-perim/smallpt-mpi.git,6,10202781,,,
71,daritter/OpenMPIFitter,C++,git,https://github.com/daritter/OpenMPIFitter.git,1,10152781,,,
72,hfinkel/libomp_oss-bgq,C,git,https://github.com/hfinkel/libomp_oss-bgq.git,1,10152781,,,
73,Dani7B/CPD,C,git,https://github.com/Dani7B/CPD.git,0,10072781,,,
74,Matt-st/Parallel_shell_sort,C++,git,https://github.com/Matt-st/Parallel_shell_sort.git,3,10012781,,,
75,minavouronikou/kmeans_hybrid,C,git,https://github.com/minavouronikou/kmeans_hybrid.git,1,9942781,,,
76,milogoestocollege/fdtd4,C,git,https://github.com/milogoestocollege/fdtd4.git,1,9902781,,,
77,tylerhjones/openMP_example,C++,git,https://github.com/tylerhjones/openMP_example.git,0,9792781,,,
78,cesarl/OpenMP-tests,C++,git,https://github.com/cesarl/OpenMP-tests.git,0,9762781,,,
79,jabl/ls_affinity,C,git,https://github.com/jabl/ls_affinity.git,3,9762781,,,
80,danielhauagge/pykmeans,C,git,https://github.com/danielhauagge/pykmeans.git,0,9762781,,,
81,maxhutch/homb,C,git,https://github.com/maxhutch/homb.git,3,9742781,,,
82,swapnilushinde/OpenMP_MPI_Sample_sort_algorithm,C,git,https://github.com/swapnilushinde/OpenMP_MPI_Sample_sort_algorithm.git,2,9722781,,,
83,astahfrom/primekincpp,C++,git,https://github.com/astahfrom/primekincpp.git,0,9672781,,,
84,lgb/mergesort_openmp,C++,git,https://github.com/lgb/mergesort_openmp.git,0,9622781,,,
85,motonacciu/clomp,C++,git,https://github.com/motonacciu/clomp.git,17,9622781,,,
86,fangzheng354/chi2-openmp-matlab,C++,git,https://github.com/fangzheng354/chi2-openmp-matlab.git,0,9602781,,,
87,jcierpial/OpenMP-Spell-Checker,C,git,https://github.com/jcierpial/OpenMP-Spell-Checker.git,1,9602781,,,
88,melugoyal/parallel_sort,C++,git,https://github.com/melugoyal/parallel_sort.git,0,9532781,,,
89,uprasad/omp,C,git,https://github.com/uprasad/omp.git,0,9522781,,,
90,JulianKemmerer/Drexel-ECEC622-Assignment1,C,git,https://github.com/JulianKemmerer/Drexel-ECEC622-Assignment1.git,1,9502781,,,
91,zzpanda/CS61C-Proj3-Matrix-Decryption-,C,git,https://github.com/zzpanda/CS61C-Proj3-Matrix-Decryption-.git,1,9462781,,,
92,dragosciocan/OpenMPSolver,C++,git,https://github.com/dragosciocan/OpenMPSolver.git,0,9452781,,,
93,jedivind/barriersync,C,git,https://github.com/jedivind/barriersync.git,8,9342781,,,
94,utkarshdalal/MatrixMultiply,C,git,https://github.com/utkarshdalal/MatrixMultiply.git,0,9222781,,,
95,AlexeyAB/ELICuda,C,git,https://github.com/AlexeyAB/ELICuda.git,0,9162781,,,
