,Code,Language,Type,URL,Stars,PushDate,usedHash,buildScript,expert
5808.0,IBM/openacc-openmp-tutorial,C,git,https://github.com/IBM/openacc-openmp-tutorial.git,14.0,-1728015,,,
7472.0,kovmir/l2flood,C,git,https://github.com/kovmir/l2flood.git,13.0,5691985,,,
2766.0,lionell/pagerank,C++,git,https://github.com/lionell/pagerank.git,13.0,8842383,,,
2555.0,arslansadiq/Parallel-Programming-TUM,C,git,https://github.com/arslansadiq/Parallel-Programming-TUM.git,12.0,9532383,,,
5854.0,jinaojakezhang/FEDFEM,C++,git,https://github.com/jinaojakezhang/FEDFEM.git,12.0,-1938015,,,
1543.0,KarypisLab/K-Truss,C,git,https://github.com/KarypisLab/K-Truss.git,12.0,5402383,,,
176.0,robeastham/png-parallel,C++,git,https://github.com/robeastham/png-parallel.git,12.0,5792781,,,
4641.0,ppg-uoi/OMPi,C,git,https://github.com/ppg-uoi/OMPi.git,11.0,-4788015,,,
5356.0,conradsnicta/armadillo-gmm,C++,git,https://github.com/conradsnicta/armadillo-gmm.git,11.0,-358015,,,
3501.0,DLopezMadrid/tracerr,C,git,https://github.com/DLopezMadrid/tracerr.git,11.0,-7878015,,,
4315.0,HxnDev/Password-Cracker-using-Brute-Force-Algorithm,C++,git,https://github.com/HxnDev/Password-Cracker-using-Brute-Force-Algorithm.git,10.0,-3598015,,,
5365.0,Kerber31/Smoothed-Particle-Hydrodynamics,C++,git,https://github.com/Kerber31/Smoothed-Particle-Hydrodynamics.git,10.0,-398015,,,
3070.0,jrmadsen/madthreading,C++,git,https://github.com/jrmadsen/madthreading.git,10.0,7552383,,,
4994.0,wandersonca/HPC-Password-Cracker,C,git,https://github.com/wandersonca/HPC-Password-Cracker.git,10.0,-6008015,,,
1861.0,jl2922/omp_hash_map,C++,git,https://github.com/jl2922/omp_hash_map.git,10.0,3942383,,,
7996.0,UDC-GAC/pato,C++,git,https://github.com/UDC-GAC/pato.git,9.0,4281985,,,
4549.0,adharshkamath/Mathy-Compiler,C,git,https://github.com/adharshkamath/Mathy-Compiler.git,9.0,-4518015,,,
1615.0,YSZhuoyang/parallel-random-forests,C++,git,https://github.com/YSZhuoyang/parallel-random-forests.git,9.0,5082383,,,
6557.0,argonne-lcf/HPC-Patterns,C++,git,https://github.com/argonne-lcf/HPC-Patterns.git,9.0,5821985,,,
7927.0,zakarouf/z_,C,git,https://github.com/zakarouf/z_.git,9.0,4501985,,,
5167.0,TheFighters/Smith-Waterman,C,git,https://github.com/TheFighters/Smith-Waterman.git,8.0,-6498015,,,
5224.0,zygyz/romp,C++,git,https://github.com/zygyz/romp.git,8.0,09.10.2507,,,
3159.0,aafulei/cpp-parallel-bellman-ford,C++,git,https://github.com/aafulei/cpp-parallel-bellman-ford.git,8.0,7212383,,,
